Columna,a,b,c,d
0,-2.8036376512814694,6.480019545926403,8.102974628906919,3.9367201417368496
1,-2.7346582327209403,6.516048585495701,7.758631349643106,1.6572846058928123
3,-2.97073270836903,6.855491955006745,7.632989897118199,1.613525077110697
4,-2.881943625856233,6.729350200861141,7.6617203674982095,1.6250220272343852
5,-2.913762303319076,6.755226997315355,7.666106251785048,1.6908328730545286
6,-2.7865741113276097,6.577552988231316,7.729842010882533,1.681448883704639
7,-2.843163944038952,6.668118136372879,7.697896775949884,1.7171844366500428
8,-2.8262145352959753,6.630029415962701,7.7109610131183866,1.7446052808717947
9,-2.9312579521008737,6.8033484458039295,7.634655612837463,1.766233719543836
10,-2.8897642467343627,6.7227532874348475,7.663546011732892,1.7580400901299933
11,-2.7807575759792083,6.576554830763727,7.718617770946561,1.7898117541552783
12,-2.7417284438292393,6.52926610229136,7.717197298835615,1.8208069388826482
14,-2.838123311549809,6.6518795438794305,7.691992801255834,1.7856020320305626
17,-2.142115236936163,5.776259958471884,7.961946449888757,1.878356131924261
